n_apresentou      n_entrevistadas   idade_m
0      376   9.21
0      200  10.21
0       93  10.58
2      120  10.83
2       90  11.08
5       88  11.33
10      105  11.58
17      111  11.83
16      100  12.08
29       93  12.33
39      100  12.58
51      108  12.83
47       99  13.08
67      106  13.33
81      105  13.58
88      117  13.83
79       98  14.08
90       97  14.33
113      120  14.58
95      102  14.83
117      122  15.08
107      111  15.33
92       94  15.58
112      114  15.83
1049     1049  17.53
